"","country","country_sn","countries_similar","points_nb_jury","points_nb_tele","jury_avg_nb","tele_avg_nb"
"1","Albania","al","ba gr it mk me rs",2.53336777138535,5.39228655160306,1.29721302587967,2.85737755680832
"2","Armenia","am","az ge",-1.43303824649542,1.62138400453772,0.268754107806859,2.14403321358795
"3","Austria","at","hr cz de hu it si ch",-0.586520541285147,1.18064784053156,0.502367770822642,1.69702756563488
"4","Azerbaijan","az","am ge ru",1.57532142181887,3.01608797234152,0.011057878435927,1.8683630783567
"5","Belarus","by","lv lt pl ru ua",0.782878886097831,2.85747778408017,0.640525277830298,2.01654979112083
"6","Belgium","be","fr de nl gb",-1.01231160359776,0.517722091672744,0.800327836750128,1.19144878408917
"7","Bosnia & Herzegovina","ba","al hr hu me rs si",1.04761904761905,2.14285714285714,1.06836400281421,2.56187797675319
"8","Bulgaria","bg","gr mk ro rs",1.32392026578073,4.00526024363234,1.41532736407098,2.85634835102504
"9","Croatia","hr","at ba hu it me rs si",0.133545363692839,2.74683642600546,0.750212396123131,2.10329848450063
"10","Czech Republic","cz","at de hu pl",0.359084217918591,0.654002241849661,0.701081534901728,1.42034951246522
"11","Denmark","dk","de se",-0.48905747778408,4.42227466709883,2.09785921364197,4.25550708718604
"12","Estonia","ee","fi lv ru",0.315125057396754,3.5223104556627,0.115753354896506,2.41234376266105
"13","Finland","fi","ee no ru se",0.468031696512978,2.77018508764822,1.00882165590759,3.55225366663966
"14","France","fr","be de it nl es ch gb",0.244148907435918,0.740745617589066,0.736703366826027,1.95474596590858
"15","Georgia","ge","am az ru",0.663979148097129,1.79462766388461,0.011057878435927,1.8683630783567
"16","Germany","de","at be cz dk fr it nl pl ch",1.22713583448127,0.743032484311554,0.564564257353537,1.73430935949725
"17","Greece","gr","al bg mk",-0.212877805688356,1.92458404235205,1.22838488912298,3.6029674121492
"18","Hungary","hu","at ba hr cz pl ro rs si ua",1.91032151185299,2.95899395871035,0.77234095472184,2.0144480007923
"19","Ireland","ie","gb",0.220565594360262,6.06476379547849,0.18867494530427,3.7243706614807
"20","Italy","it","al at hr fr de si ch",1.64303946195608,3.10488074980418,0.565881639453853,2.01203206171389
"21","Latvia","lv","by ee lt ru",0.441887475353159,2.31552683467034,0.609772551296942,2.15350032412284
"22","Lithuania","lt","by lv pl ru",2.27100214731383,1.03083387353807,0.665824870125778,1.7620524403749
"23","North Macedonia","mk","al bg gr me rs",1.26912932501418,3.08973881100937,1.28562548956054,3.1265275414382
"24","Moldova","md","ro ua",2.53975231612781,5.33079774734624,1.78409532212709,3.54297351196103
"25","Montenegro","me","al ba hr mk rs",0.40225467952354,1.09422318558734,1.29731248143046,2.95316908858457
"26","Netherlands","nl","be fr de",3.38588174918294,2.57176619938957,0.961213721875591,1.14331659824073
"27","Norway","no","fi ru se",-0.532516948923642,2.82620600707668,1.1822458055353,3.5597394693839
"28","Poland","pl","by cz de hu lt ru ua",0.595386651540934,1.56507103692299,0.862225719485185,1.76747507461578
"29","Portugal","pt","es",3.36740674715717,6.96325257272506,1.66874983118602,5.84807248197067
"30","Romania","ro","bg hu md rs ua",2.29850633390055,2.00908624368636,1.8307477408938,3.47437452544514
"31","Russia","ru","az by ee fi ge lv lt no pl ua",-0.762030809676868,1.04135267266294,0.575735640171261,2.36624690303079
"32","Serbia","rs","al ba bg hr hu mk me ro",2.39795870134781,3.25307241444507,1.47962477779078,2.96581721972628
"33","Slovenia","si","at ba hr hu it",-0.946519055722119,0.344876158063906,0.533580964685616,2.0798487126621
"34","Spain","es","fr pt",-0.0299070847851336,4.73289239121627,1.19388285660265,4.14563019384347
"35","Sweden","se","dk fi no",5.55549928422872,7.60121411014775,1.25048913850849,4.40496996799287
"36","Switzerland","ch","at fr de it",0.278855373686627,1.84295066580234,0.56133180725495,1.52245147160774
"37","Ukraine","ua","by hu md pl ro ru",0.514027316352898,3.2890365448505,1.12554888659945,2.72168799832279
"38","United Kingdom","gb","be fr ie",0.156784296248278,1.38397752748292,-0.0977032013883261,2.1768022580558
